left_out,spc_abusive,spc_unclear,spc_friendly,V,p_adj
abusive:0,0.179,0.604,0.975,0.66,9.572158936599351e-06
abusive:1,0.199,0.604,0.975,0.646,9.617645623127835e-06
abusive:2,0.171,0.604,0.975,0.666,9.02677270508967e-06
abusive:3,0.163,0.604,0.975,0.672,8.055836147158324e-06
abusive:4,0.164,0.604,0.975,0.671,8.296652945882776e-06
abusive:5,0.2,0.604,0.975,0.644,9.7006562890245e-06
abusive:6,0.163,0.604,0.975,0.672,8.055836147158324e-06
abusive:7,0.177,0.604,0.975,0.661,9.411403604553392e-06
abusive:8,0.193,0.604,0.975,0.65,9.935742553257576e-06
abusive:9,0.186,0.604,0.975,0.655,9.886703763339888e-06
friendly:0,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:1,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:2,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:3,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:4,0.179,0.604,0.979,0.659,9.24724466710991e-06
friendly:5,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:6,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:7,0.179,0.604,0.972,0.653,9.649426023217167e-06
friendly:8,0.179,0.604,0.993,0.671,7.859459128956026e-06
friendly:9,0.179,0.604,0.972,0.653,9.649426023217167e-06
unclear:0,0.179,0.565,0.975,0.672,5.7604889982521e-06
unclear:1,0.179,0.643,0.975,0.678,5.282289619823466e-06
unclear:2,0.179,0.612,0.975,0.675,8.29870634144747e-06
unclear:3,0.179,0.633,0.975,0.678,6.625045977814992e-06
unclear:4,0.179,0.594,0.975,0.674,8.262589421437205e-06
unclear:5,0.179,0.594,0.975,0.674,8.262589421437205e-06
unclear:6,0.179,0.565,0.975,0.672,5.7604889982521e-06
unclear:7,0.179,0.601,0.975,0.674,8.434448153127327e-06
unclear:8,0.179,0.633,0.975,0.678,6.625045977814992e-06
unclear:9,0.179,0.597,0.975,0.673,8.355255715408738e-06
